,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall,Convention
39,0.843972,0.142857,0,0.833333,0.647059,0,0.446429,0.520548,0.860987,0.882353
40,0.858182,0.125,0.671141,0.790698,0.64,0,0.634615,0.627119,0.876404,0.892308
41,0.83045,0.125,0.725,0.857143,0.903226,0,0.595238,0.697674,0.861607,0.927536
42,0.849123,0.315789,0,0,0.785714,0,0.629213,0.677165,0.865217,0.852459
43,0.846416,0.3,0.609929,0.8,0,0,0.577778,0.626087,0.866667,0.909091
44,0.851211,0.315789,0.662252,0.8125,0.848485,0,0.506329,0.708661,0.862222,0.779661
45,0,0.133333,0,0.709677,0,0,0.529412,0.689076,0.841629,0.857143
46,0.845878,0.111111,0.4,0.72973,0.875,0,0.638298,0.694215,0.83871,0.927536
47,0.858108,0,0.635135,0.746667,0.827586,0,0.432432,0.682171,0.823245,0.717391
48,0.836237,0.3,0.460317,0.580645,0.714286,0,0.626506,0.725806,0.846154,0.857143
49,0.862454,0.47619,0.648276,0.882353,0.903226,0,0.704545,0.628099,0.834568,0.724138
50,0.862319,0,0.693333,0.852941,0.875,0,0.585366,0.552381,0.87037,0.780488
51,0.858131,0,0,0.853333,0.785714,0,0,0.672131,0.849558,0.927536
52,0.864662,0,0,0,0,0,0.701031,0.693548,0.834437,0.869565
53,0.864662,0.083333,0,0,0.64,0,0,0.661017,0.835322,0.878788
54,0.875472,0.166667,0,0.794872,0.866667,0,0.561798,0.705882,0.86087,0.927536
55,0.879121,0.333333,0,0.90411,0.875,0,0.571429,0.757576,0.880342,0.875
56,0.854015,0.25,0,0.8125,0,0,0.589286,0.64,0.863535,0.882353
57,0.791667,0.428571,0,0.805556,0.64,0,0.75,0.688525,0.878378,0.942857
58,0.864662,0,0,0,0.903226,0,0.47619,0.644068,0.853881,0.857143
59,0.835088,0.125,0,0.714286,0.785714,0,0.581395,0.655172,0.862921,0.84507
Aveg Precision,0.82853645,0.3439484,0.41568025,0.64220155,0.7792045,0,0.72883075,0.8377647,0.86145805,0.8762841
StandDev,0.210541914,0.303561163,0.471803902,0.348302976,0.401458516,0,0.270567664,0.041822964,0.028933992,0.097103159
,,,,,,,,,,
Aveg Recall,0.7950355,0.1357144,0.21052635,0.6388889,0.55882335,0,0.43392865,0.5643835,0.8515695,0.8650333
StandDev,0.192473937,0.12019493,0.250405719,0.342348843,0.312141136,0,0.176406107,0.063882293,0.041760899,0.095596054
Aveg F-score,0.8093929,0.1794558,0.27526915,0.63235055,0.6434422,0,0.53454305,0.67131865,0.85530185,0.871416833
StandDev,0.191450643,0.150633614,0.32015168,0.332159351,0.34112433,0,0.197723588,0.044473039,0.016506504,0.063494925
