,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall,Convention
26,0.801418,0,0.347368,0.583333,0.823529,0.111111,0.446429,0.684932,0.834081,0.705882
27,0.77305,0,0.431579,0.75,0.823529,0.833333,0.285714,0.575342,0.811659,0.852941
28,0.822695,0,0.484211,0.777778,0.823529,0.777778,0.482143,0.671233,0.865471,0.852941
29,0.787234,0.285714,0.557895,0.75,0.823529,0.944444,0.607143,0.657534,0.856502,0.823529
30,0.758865,0,0.568421,0.638889,0.823529,0.722222,0.482143,0.534247,0.838565,0.852941
31,0.758865,0,0.452632,0.527778,0.588235,0,0.464286,0.684932,0.883408,0.852941
32,0.787234,0,0.610526,0.555556,0.764706,0.333333,0.571429,0.671233,0.847534,0.852941
33,0.851064,0,0.547368,0.777778,0.764706,0.833333,0.410714,0.616438,0.717489,0.882353
34,0.77305,0.142857,0.431579,0.75,0.823529,0.444444,0.535714,0.69863,0.874439,0.794118
35,0.815603,0,0.6,0.666667,0.470588,0.722222,0.5,0.726027,0.860987,0.705882
36,0.794326,0.142857,0.505263,0.527778,0.823529,0.777778,0.464286,0.60274,0.856502,0.735294
37,0.829787,0,0.4,0.722222,0.764706,0.833333,0.339286,0.520548,0.869955,0.852941
38,0.801418,0,0.442105,0.722222,0.823529,0,0.392857,0.684932,0.860987,0.852941
39,0.801418,0.142857,0.578947,0.583333,0.823529,0.777778,0.589286,0.561644,0.883408,0.735294
40,0.813433,0,0.713376,0.666667,0.8,0,0.5,0.755556,0.859729,0.761905
41,0.797153,0,0.72956,0.714286,0.903226,0.4,0.560976,0.707692,0.852459,0.819672
42,0.830189,0,0.732919,0.742857,0.903226,0.864865,0.463415,0.732824,0.816964,0.895522
43,0.823944,0,0.615385,0.818182,0.903226,0.731707,0.5,0.671756,0.847682,0.882353
44,0.837037,0,0.675497,0.701299,0.903226,0.684211,0.564706,0.746032,0.863309,0.857143
45,0.798611,0,0.611111,0.59375,0.903226,0.756757,0.635294,0.672131,0.852459,0.741935
46,0.81295,0,0.507692,0.608696,0.903226,0.153846,0.588235,0.694444,0.855172,0.75
47,0.810409,0,0.594203,0.701299,0.875,0.47619,0.432432,0.672,0.822727,0.852941
48,0.814035,0,0.630137,0.777778,0.903226,0.717949,0.635294,0.731343,0.859688,0.892308
49,0.798561,0.363636,0.688312,0.818182,0.903226,0.85,0.693878,0.732824,0.858427,0.848485
50,0.801498,0,0.696774,0.730159,0.848485,0.787879,0.613636,0.609375,0.838565,0.892308
51,0.816794,0,0.614286,0.542857,0.740741,0,0.604651,0.735294,0.849138,0.852941
52,0.819188,0,0.711656,0.625,0.866667,0.428571,0.695652,0.7,0.853273,0.852941
53,0.836237,0,0.684211,0.746667,0.866667,0.857143,0.560976,0.692308,0.810127,0.909091
54,0.813433,0.25,0.577465,0.830769,0.903226,0.533333,0.674157,0.723404,0.853392,0.84375
55,0.836364,0,0.7125,0.705882,0.64,0.722222,0.583333,0.751773,0.840263,0.8
56,0.805755,0.25,0.653061,0.542857,0.903226,0.823529,0.604651,0.715447,0.854586,0.806452
57,0.821053,0,0.562963,0.753623,0.866667,0.789474,0.475,0.638655,0.838013,0.865672
58,0.792982,0,0.591549,0.764706,0.903226,0,0.53012,0.719424,0.851441,0.878788
59,0.821818,0.25,0.705128,0.65625,0.903226,0.682927,0.694737,0.66129,0.845494,0.793651
Aveg Precision,0.83488765,0.175,0.908187,0.73809915,0.97930555,0.56877265,0.8430584,0.79513355,0.85333125,0.88513755
StandDev,0.031391695,0.37257991,0.026825223,0.10739834,0.056608955,0.2946334,0.063084106,0.049414304,0.035989343,0.041506588
,,,,,,,,,,
Aveg Recall,0.79751765,0.03571425,0.51210525,0.675,0.7852938,0.5833332,0.44821435,0.63424665,0.84170405,0.8014705
StandDev,0.024726492,0.078588436,0.080548854,0.090617273,0.092073324,0.330150481,0.087270565,0.059644716,0.037661972,0.070688146
Aveg F-score,0.8150722,0.0556818,0.65038925,0.7020883,0.86714695,0.56303015,0.58055715,0.7031786,0.8461454,0.8398929
StandDev,0.013472354,0.116465916,0.063845976,0.086111504,0.06809974,0.303103029,0.079321836,0.03921096,0.014589815,0.049879047
