Text,True_Label,Predicted_Label
"(k) be free from Jonathan spot, drought spot or marks resembling drought spot;",0,0
(j) be free from insect damage other than plant bug damage and be free from disease;,0,0
"The FDA approved the first materials intended for use as packaging for irradiated foods (polyolefin films, polystyrene, cellophane, vinylidene chloride copolymers, and others) in 1964. ",0,0
"(e) in the case of a consumer prepackaged poultry carcass graded Canada Utility that has a net weight of 5 kg or less, at least 3 mm in height;",0,0
"Lobster Paste in a hermetically sealed package
(a) must be prepared from clean, sound lobster liver;",0,0
"(2) Despite subsection (1), the grade name of prepackaged fresh fruits or vegetables, other than consumer prepackaged fresh fruits or vegetables, may, if the container is a reusable plastic container, be in characters that are at least 1.6 mm in height.",0,0
c) meet the composition requirements set out in section 10;,0,0
(b) the mark is shown alone or in combination with a date;,0,0
"Applying the baseline calculation discussed in section VI.B.3.b (“Individual foods”), we propose that an individual fruit product must contain at least 1/2 c-eq of fruit per RACC to bear the “healthy” claim. ",0,0
(2) The cleaning and sanitation of the establishment and of any conveyance or equipment in it that is used in connection with an activity that is regulated under the Act must be conducted in a manner that does not present a risk of contamination of a food.,0,0
(f) be free from bruises that are soft;,0,0
"d) have a diastase activity, determined after processing and blending, as represented by a diastase figure on the Gothe scale of:
(i) not less than eight if the hydroxymethylfurfural content is not more than 40 mg/kg; or
(ii) not less than three if the hydroxymethylfurfural content is not more than 15 mg/kg;",0,0
(b) have not more than 5% of the pears affected by condition defects after storage or transit; ,0,0
"and

(f) a beef carcass, or a carcass side, hind quarter, front quarter, primal cut or sub-primal cut of a beef carcass, that is sent or conveyed from one province to another or exported, in the following cases:

(i) if it is prepackaged, its container is labelled with the expression “Ungraded Beef” or “boeuf non classifié”, and

(ii) if it is not prepackaged, it is accompanied by documents for presentation to an inspector or grader that show that it has not been graded.",0,0
(m) be free from skin breaks at the stem;,0,0
"53 Any conveyance or equipment that is used in the manufacturing, preparing, storing, packaging or labelling of a food or in the slaughtering of a food animal must

(a) be appropriate for the food or the food animal, as the case may be, and for the activity being conducted;",0,0
"Breaded scallops must

(a) if cooked, contain at least 60% scallop meat by weight;",0,0
"(3) If prepackaged fresh fruits or vegetables that are labelled in accordance with these Regulations are placed inside of a second container and the resulting product is prepackaged fresh fruits or vegetables, other than consumer prepackaged fresh fruits or vegetables, the second container is not required to be labelled with the grade name if the grade name is readily discernible and legible without having to open the second container and the grade name is not obscured by the second container.",0,0
"In air, increasing dose leads to higher concentrations and a wider variety of measurable RPs (21).",0,0
"(2) Despite paragraph (1)(e), a licence holder may grade and apply the grade name Canada C to an egg that has a particle of the oviduct or a blood spot neither of which exceeds 3 mm in diameter.",1,1
"The colour class must be shown on the container, in close proximity to the grade name,

(a) in the case of consumer prepackaged honey, in characters that are of at least the minimum character height that is set out in column 2 of Schedule 6 for the area of a principal display surface that is set out in column 1;",0,0
"Keep records of all applications of treatments to the colonies (e.g. medications, colony evacuation for honey removal, mite control).",0,0
317 Prepackaged fish that is sent or conveyed from one province to another or that is imported or exported must be labelled with any applicable class and size designation that is set out in the Compendium.,0,0
CFIA reserves the right to carry out audits of those involved in the IREP;,0,0
"and

(b) in characters of at least the minimum character height that is set out in column 2 of Schedule 6 for the area of a principal display surface that is set out in column 1.",0,0
"We do not propose to include processed fruits and vegetables, such as canned, frozen, dried, or pureed fruits and vegetables, within this exemption, though many may still meet the criteria to bear “healthy.”",0,0
"Lobster meat must be free from the stomach, intestinal tract, gills, cartilage, shell particles, liver and roe.",0,0
"and
(b) if uncooked, contain at least 67.5% scallop meat by weight.",0,0
The use of packaging materials for irradiated food is considered a new use and is subject to premarket safety evaluation.,0,0
Inspect all incoming ingredients and materials at receiving to confirm that purchase specifications are met.,0,0
(e) does not have any internal defect;,0,1
"318 If consumer prepackaged fish that is labelled in accordance with these Regulations is placed inside of a second container and the resulting product is consumer prepackaged fish, the second container is not required to be labelled with the grade name.",0,0
316 Eggs that are graded Canada A must be labelled with any applicable size designation that is set out in the Compendium.,0,0
"(2) If fat that is marked with a grade stamp, roller brand or yield stamp is removed from a livestock carcass or a primal cut, the fat must be disposed of under a grader’s supervision unless the fat is

(a) reapplied to the same livestock carcass or primal cut from which it was removed;",0,0
"(b) may contain clean, sound lobster meat and roe;",0,0
"Recently, studies conducted in conjunction with the “Food Migrosure” migration modeling project suggest that 50% ethanol might be a more appropriate general simulant for liquid dairy
products because it more closely tracks the actual migration levels of many dairy products.",0,0
"Second, we found that a 1/2 c-eq aligned better with the RACCs for most vegetable products as set out in FDA's NFL final rule.",0,0
"315 The grade name on prepackaged eggs must be shown in characters that are at least the following height:

(a) in the case of a tray with an overwrap or an egg carton of eggs graded Canada A or Canada B, 1.5 mm for the word “Canada” and 3 mm for “A” or “B”;",0,0
(g) be free from skin punctures that exceed the tolerances set out in Columns 2 and 3 of an item of the Table of Tolerances for Skin Punctures in Apples in Trays or Cells or the Table of Tolerances for Skin Punctures in Apples in Retail Bulk Displays or in Containers Other Than Trays or Cells to section 18 for the grade set out in Column 1 of that item and the type of package or display set out in the title of one of the tables;,0,0
"(3) Paragraphs (1)(b) and (c) do not apply in respect of

(a) any processed fruit or vegetable product that does not meet the requirements of the Regulations with respect to grade and that is sent or conveyed from one province to another, if it is labelled with the words “Substandard” or “sous-régulier”;",0,0
"(4) The documents that set out the information referred to in paragraph (3)(a) must be kept for three years after the day of the most recent application of the scheduled process to the low-acid food, and the documents that set out the information referred to in paragraph (3)(b) must be kept for three years after the day of the application of the scheduled process.",0,0
"and (h) have surfaces that, if they come into contact with a food, are smooth, free from pitting, cracks and flakes and non-absorbent, except when the surface does not present a risk of contamination of the food.",0,0
"or (c) in the case of untiered apples, are packaged in accordance with one of the following diameter size ranges, namely,
(i) 60 mm (2 ⅜ inches) to 63 mm (2 ½ inches),
(ii) 60 mm (2 ⅜ inches) to 70 mm (2 ¾ inches),
(iii) 60 mm (2 ⅜ inches) and up,
(iv) 63 mm (2 ½ inches) to 70 mm (2 ¾ inches),
(v) 63 mm (2 ½ inches) to 76 mm (3 inches),
(vi) 63 mm (2 ½ inches) and up,
(vii) 70 mm (2 ¾ inches) to 76 mm (3 inches),
(viii) 70 mm (2 ¾ inches) and up, or
(ix) 76 mm (3 inches) and up.",1,1
"(b) in the case of a tray with an overwrap or an egg carton of eggs graded Canada C or Canada Nest Run, 1.5 mm;",0,0
"323 The grade name of prepackaged honey, other than consumer prepackaged honey, must be shown

(a) on at least one side or one end of the container;",0,0
c) be free from any foreign material that would be retained on a screen having a sieve opening of 0.2489 mm and made of wire having a diameter of 0.125 mm;,1,1
"(g) be free from marks that are caused by limb rub and that
(i) exceed three per peach, or
(ii) affect an aggregate area per peach exceeding 13 mm (½ inch) in diameter;",1,1
"however, it is generally recognized that the growth of Vp is unlikely and is not a concern in harvested oysters when their temperature is not greater than 10°C;",0,0
"(2) Subsection (1) does not apply if the low-acid food is kept refrigerated or frozen and the expressions “Keep Refrigerated” and “garder réfrigéré”, or “Keep Frozen” and “garder congelé”, as the case may be, are shown on the principal display panel.",0,0
(d) must be ground to a smooth consistency and be uniform in colour;,0,0
"or (c) in the case of peaches sold on or after August 15 of any year, have a minimum diameter of 57 mm (2 1/4 inches).",1,0
"The recommended amount of vegetables in the Healthy U.S.-Style Dietary Pattern at the 2,000-calorie level is 21/2 c-eq of vegetables per day.",0,0
"(2) Despite subsection (1), green or wax beans, peas, lima beans, asparagus tips or spears, whole white potatoes, whole carrots or cut carrots-whole style that are in a hermetically sealed package and have not been size graded or that are not all of the same size may be labelled, as the case may be, with the expression

(a) “Ungraded as to Size” or “non calibré”;",1,0
Follow up with suppliers on non-compliant issues.,0,0
"The size designation must

(a) be shown in close proximity to the grade name;",0,0
"To assist GAC, the Canadian Food Inspection Agency (CFIA) performs compliance verifications of dairy plants.",0,0
"and (b) in the case of carrots other than the ""Baby"", ""Mini"", ""Finger"" or ""Cocktail"" types, have a minimum diameter of 19 mm (3/4 inch) and a minimum length of 114 mm (4 1/2 inches).",1,1
"(3) The operator must prepare documents that set out
(b) in respect of each application of the scheduled process to a low-acid food,
(i) the name of the food and its production volume,
(ii) the equipment that is used for the treatment,
(iii) any parameters of the treatment, such as start and end times, temperatures of the treatment and the pressure used in the treatment,
(iv) a description of any maintenance of, and of any modifications to, the equipment that is used for the treatment,
(v) any deviations from the scheduled process and any corrective action taken,
(vi) the incubation results, and
(vii) a description of any treatment of the cooling water.",0,0
"and
(b) contain more than 50% lobster meat by drained weight.",0,0
"(h) be free from russeting that is
(i) rough,
(ii) dark in colour and affects an aggregate area per peach exceeding 13 mm (½ inch) in diameter, or
(iii) fine, light in colour and affects more than 15% of the surface area of a peach;",1,1
"Lobster Cocktail in a hermetically sealed package must

(a) be prepared from clean, sound lobster meat that is free from inedible parts, in combination with fresh, well-washed cod, haddock, hake, cusk or any combination of them;",0,0
(b) be suitable for its intended use and not present a risk of contamination of a food;,0,0
"Subsection (1) does not apply to maple syrup (item 3) that is imported and that is graded by a licence holder and packaged in Canada, if it is graded in an establishment that is identified in a licence, other than an establishment where maple syrup is prepared directly from maple sap.",0,0
(c) the food complies with any standards that are set out in the Standards of Identity Document;,0,0
"First, vegetables are significantly underconsumed according to the Dietary Guidelines, 2020-2025.",0,0
"j) if its container bears the word ""liquid"" or ""liquide"", be clear, bright, uniform in colour and free from visible crystals; and",0,0
"(f) in the case of a consumer prepackaged poultry carcass graded Canada Utility that has a net weight of more than 5 kg, at least 5 mm in height;",0,0
"(b) in the case of a consumer prepackaged poultry carcass graded Canada A or Canada C that has a net weight of 1 kg or less, at least 3 mm in height;",0,0
Components of packaging materials that have been irradiated may migrate to food at different levels in comparison to unirradiated materials.,0,0
or (c) contains apples of Canada Commercial Cookers grade.,0,0
Optimal temperatures for the growth of Vp are between 20 and 37°C.,0,0
"The effects of radiation on matter generally depend on the type of the radiation and energy level, as well as the composition, physical state, temperature and environment of the absorbing material, whether it is food or the packaging materials in contact with the food.",0,0
This means that an individual dairy food must contain at least 3/4 c-eq of dairy per RACC to bear the “healthy” nutrient content claim.,0,0
"The grades and grade names for Whitefish are ""Small"", ""Medium"", ""Large"", and ""Jumbo"".",0,0
"8. (1) In addition to meeting the requirements for all grades set out in section 7, apples graded Canada Extra Fancy must

(a) be smooth and well formed;",0,0
and (c) have not more than 3% of the condition defects referred to in paragraph (b) attributable to decay or internal breakdown.,0,0
"(i) be free from insect damage of any of the following types, namely,
(i) pansy spot that affects an aggregate area per apple exceeding 13 mm (½ inch) in diameter,
(ii) insect damage other than pansy spot, or
(iii) scale and scale spots that
(A) exceed two per apple, or
(B) affect more than 5%, by count, of the apples in a lot;",1,1
"(2) In the case of a livestock carcass or a poultry carcass that is dressed or partially dressed, only the persons who are referred to in the Compendium or the Grades Document are authorized, under the circumstances set out in the Compendium or the Grades Document, to apply a grade name to, or use a grade name in connection with, a food in accordance with this Part.",0,0
"Lobster Cocktail in a hermetically sealed package must

(a) be prepared from clean, sound lobster meat that is free from inedible parts, in combination with fresh, well-washed cod, haddock, hake, cusk or any combination of them;",0,0
"k) if its container bears the word ""creamed"", ""en crème"" or another word indicating that the contents are granulated, have a smooth fine texture and complete and uniform granulation.",0,0
Obtain a guarantee from the supplier(s) that the chocolate blocks and packaging materials provided meet your purchase specifications (for example the supplier provides a Letter of Guarantee).,0,0
"While small amounts of added sugars can be part of a healthy dietary pattern—the Dietary Guidelines, 2020-2025 recommendations allow for a certain allotment of added sugars per day—we do not want the “healthy” claim to encourage addition of added sugars in otherwise nutrient-dense fruit products, which are generally already naturally sweet.",0,0
(l) be free from sprayburn and sunscald;,0,0
(c) be free from growth cracks and split pits;,0,0
Regularly monitor the addition of rework and/or returned product to ensure that like product is added to like product.,0,0
"In connection with Section 409 of the Act, this means that a food is deemed adulterated and cannot be legally marketed if it has been intentionally irradiated, unless the irradiation is carried out in compliance with an applicable regulation under the prescribed conditions of use specified in the regulation.",0,0
"A fish stick or a fish finger is a uniform rectangular portion of breaded fish flesh that weighs at least 25 g and not more than 50 g and that
(a) is at least 10 mm thick and shaped so that the length is not less than three times the greatest width;",1,1
"5. Honey graded Canada No. 2 must

a) meet paragraphs 3(a) to (e) and 3(h);",0,0
"(d) be free from limb rub that
(i) is depressed,
(ii) in the case of apples of the Red Delicious variety, affects an aggregate area per apple exceeding 13 mm (½ inch) in diameter, or
(iii) in the case of apples of varieties other than Red Delicious, affects an aggregate area per apple exceeding 6 mm (¼ inch) in diameter;",1,1
(e) be free from skin punctures or breaks;,0,0
"Fresh green asparagus of varieties grown from Asparagus officinalis must:
(a) meet the requirements of U.S. No. 1 or U.S. No. 2 for fresh asparagus, other than a processing grade, established by the responsible Department, except for colour;",0,0
"Test protocols (including those in our 2007 chemistry guidance) recommend the use of 10% ethanol as a food simulant for aqueous and acidic foods (i.e., Food Types I, II, IV-B, VI-B, and
VII-B, including milk products identified as oil-in-water emulsions (Food Type IV-B)).",0,0
"(e) a beef carcass, or a carcass side, hind quarter, front quarter, primal cut or sub-primal cut of a beef carcass that has been imported, in the following cases:

(i) if it is prepackaged, its container is labelled with the expression “Ungraded Beef” or “boeuf non classifié”, and

(ii) if it is not prepackaged, it is accompanied by documents for presentation to an inspector or grader that show that it has not been graded;",0,0
"In addition to the food group criteria, we are proposing that foods must continue to adhere to certain criteria regarding nutrients to limit to be labeled “healthy.”",0,0
(b) any producer;,0,0
and (d) be free from insects and insect larvae.,0,0
(b) be well formed and sized;,1,0
"(d) be equipped with instruments to control, indicate and record any parameters that are necessary to prevent contamination of the food;",0,0
The size designation must be shown on the container in close proximity to the grade name.,0,0
"(c) be constructed of, and maintained using, materials that are suitable for their intended use and, if those materials present a risk of contamination of the food, that are

(i) corrosion-resistant,

(ii) durable,

(iii) capable of withstanding repeated cleaning and, if necessary to prevent contamination of the food, repeated sanitizing, unless the equipment is intended for a single use, and

(iv) free of any noxious constituent;",0,0
"All bulk milk/cream haulers/graders must be licensed and in good standing with the licensing authority. Furthermore, individual farm samples must be made available for testing upon request of a Canadian regulatory authority.",0,0
The following requirements will apply to Canadian dairy processors under the IREP: Raw milk/cream coming from the USA must be from a United States Food and Drug Administration (USFDA) recognized Bulk Tank Unit (BTU) and be listed in good standing on the National Conference on Interstate Milk Shipments(NCIMS) and meet Canadian animal health import requirements.,0,0
"For the grains category, we find that there are no special circumstances that require deviation from the baseline levels, so we are proposing the baseline value for all of the nutrients to limit: the added sugars content must be no greater than 5 percent DV per RACC, the sodium content must be no greater than 10 percent DV per RACC, and the saturated fat content must be no greater than 5 percent DV per RACC.",0,0
"330 (1) The grade name of a poultry carcass must be shown

(a) in the case of a poultry carcass that is individually packaged, on the part of the package that lies on or over the anterior centre of the breast of the poultry;",0,0
"(e) be free from russeting that
(i) is within the stem cavity or calyx basin and is rough and readily apparent and materially affects the appearance of an apple, or
(ii) is outside the stem cavity or calyx basin and is
(A) rough and affects an aggregate area per apple exceeding 6 mm (¼ inch) in diameter,
(B) slightly rough and affects an aggregate area per apple exceeding 13 mm (½ inch) in diameter,
(C) smooth and solid and in the aggregate affects more than 5% of the surface area of an apple, or
(D) smooth and net-like and in the aggregate affects more than 10% of the surface area of an apple;",1,1
"Lobster meat must be free from the stomach, intestinal tract, gills, cartilage, shell particles, liver and roe.",0,0
"i) have a flavour characteristic of its colour class and be free from any objectionable flavour, aroma or taint;",0,0
"and (d) the mark and any date do not touch the grade stamp, the roller brand or the yield stamp.",0,0
"(3) If the carcass referred to in paragraph (2)(b) is a beef carcass that is graded Canada A, Canada AA, Canada AAA or Canada Prime, the fat must be applied to the rib of the carcass. ",0,0
"For example, the Nutrition Facts label must now include a declaration of the amount of added sugars in a serving of a product, based on our conclusion that evidence on dietary patterns and health outcomes supports a mandatory declaration of added sugars (81 FR 33742 at 33799).",0,0
"If cooked lobster meat is to be sold as frozen lobster meat, it must be frozen immediately after being packaged and be maintained at a temperature of -18°C or less.",0,0
"(2) Subsection (1) does not apply in respect of

(a) frozen gutted Pacific salmon;",0,0
"Under the baseline saturated fat limit of 5 percent DV, low-fat dairy (e.g.,1 percent milk) would not meet the criteria for bearing the “healthy” claim (Ref. 20).",0,0
Vibrio parahaemolyticus (Vp) can cause food-borne illness in humans.,0,0
49 An operator must maintain and operate an establishment so that the requirements of sections 50 to 81 are met.,0,0
"At a scheduled frequency, analyze representative samples of incoming ingredients and materials to verify the accuracy of Certificates of Analysis and/or that the incoming ingredients and materials meet purchase specifications as indicated in Letter(s) of Guarantee.",0,0
"(d) in the case of a consumer prepackaged poultry carcass graded Canada A or Canada C that has a net weight of more than 5 kg, at least 9 mm in height;",0,0
"(3) The operator must prepare documents that set out
(a) in respect of each low-acid food,
(i) a description of the scheduled process that will be applied to it, together with the name of the person who is responsible for developing the process, and
(ii) the formulation of the food;",0,0
"(2) In addition to the requirements for each grade and subject to the general tolerances set out in subsections 19(1) and 19(3), apples of all grades, other than Canada Commercial Cookers, Canada No. 1 Peelers and Canada No. 2 Peelers must (a) be properly packaged;",0,0
"(b) in the case of prepackaged fresh fruits or vegetables, other than consumer prepackaged fresh fruits or vegetables,

(i) if their container is a reusable plastic container, be shown in characters that are at least 1.6 mm in height, or

(ii) if their container is not a reusable plastic container, be shown in characters of at least the minimum character height that is set out in paragraph 320(1)(b) for the grade name;",0,0
Store treated and untreated spices separately.,0,0
"Forms of dairy that are more nutrient dense (i.e., fat-free and low-fat dairy products) provide important nutrients with less saturated fat than 2 percent or whole-fat dairy.",0,0
"(b) in the case of tiered apples, are packaged by count and
(i) if they are of the box count size 100 or of a larger size, do not vary in diameter by more than 8 mm (5/16 inch) in any one package, or
(ii) if they are of a smaller size than the box count size 100, do not vary in diameter by more than 6 mm (¼ inch) in any one package;",1,1
"(1) If the foods set out in section 1 are graded and the grade name is applied to the food, the grade name must be displayed as shown in the schedule of dairy product grade names.",0,0
"e) have no deterioration seriously affecting its edibility, appearance or shipping quality;",0,0
"Obtain a certificate of analysis for each lot of ingredients to confirm that they do not contain microbial hazards (for example, Salmonella spp.)",0,0
"b) have a consistency that is fluid, viscous or partly or wholly crystallized;",0,0
(n) be free from a combination of two or more defects referred to in paragraphs (b) to (i) that individually do not exceed their respective tolerances but that in combination exceed the greatest area tolerance set out in any of those paragraphs;,1,1
"For example, it is appropriate to require that canned fruit products contain a certain amount of fruit per serving in order to bear the “healthy” claim because they contain additional ingredients (e.g.,sugar solution) which may impact whether the product has enough fruit per serving to meet the food group equivalent requirement.",0,0
"7. (1) In this section, ""sized"" means that the apples

(a) have a minimum diameter of 60 mm (2 ⅜ inches);",1,1
Inspectors are to use the sample bottles provided for raw milk sampling.,0,0
54. The grades and requirements set out in sections 55 to 58 apply to grapes of varieties grown from Vitis vinifera or Vitis labrusca and their hybrids.,0,0
"Condensed Milk or Sweetened Condensed Milk is milk from which water has been removed, to which sugar, dextrose, glucose, glucose solids, lactose or any combination of them has been added and that

(a) contains at least 28% milk solids and 8% milk fat;",0,0
"(f) be free from scab, including pinpoint scab;",0,0
"The recent interest in irradiating meat to eliminate pathogens such as E. coli O157:H7 has resulted in several industry submissions to the Agency regarding new packaging materials, as well as the radiation sources, intended for use during the irradiation of prepackaged food. ",0,0
(b) have reasonably compact and firm body;,0,0
"334 A grader may grade a livestock carcass in an establishment that is identified in a licence or in a provincial establishment if one of the following persons has requested in writing that the carcass be graded:

(a) any person who is in authority in the establishment;",0,0
82 (1) An operator who suspects on reasonable grounds that a food presents a risk of injury to human health or does not meet the requirements of the Act or these Regulations must immediately investigate the matter.,0,0
(2) Condition defects apply against the grade of a lot of grapes only when the lot is inspected at the time of shipping or repackaging.,0,0
"320 (1) The grade name of prepackaged fresh fruits or vegetables, other than consumer prepackaged fresh fruits or vegetables, must be shown

(a) on any surface of the container, except the bottom;",0,0
All requirements set out in the Food exports must be met for exporting the final product.,0,0
324 Honey that is sent or conveyed from one province to another or that is imported or exported must be labelled with any applicable colour class that is set out in the Compendium.,0,0
"and
(b) if uncooked, contain at least 75% fish flesh by weight.",0,0
"For example, Vp can double in number in under 2 hours when oysters are maintained at 25°C.",0,0
"and
(b) may contain added vitamin D.",0,0
Vp can grow at temperatures as low as 5°C and as high as 43°C under very specific conditions of pH and salinity;,0,0
(b) meet the requirements that are set out in the Compendium or the Grades Document in respect of the applicable grade of that food;,0,0
"(e) have, except in the case of marbled cheddar cheese, a characteristic uniform colour ; and",0,0
"As such, we consider 50% ethanol as a generally appropriate simulant for infant formula (liquid or otherwise reconstituted) and human milk.",0,0
"Prepackaged fish and chips must contain french fried potatoes, at least 45% battered fish by weight and at least 25% fish flesh by weight.",0,0
"83 (1) An operator must prepare, keep and maintain a document that sets out a procedure for receiving, investigating and responding to complaints that are received in relation to a food.",0,0
We are proposing to increase the saturated fat limit for dairy products from the baseline level.,0,0
(j) be free from insect larvae and red banded leaf roller damage;,0,0
"62. (1) In this section, ""mature"" means the peaches are well developed and have attained sufficient yellow in the ground colour to indicate they will continue to ripen and, in the case of peaches grown in Ontario, also means the pressure test through the skin of the peaches does not exceed 8 kg (18 pounds) as indicated by a pressure tester with an 8 mm (5/16 inch) diameter plunger.",1,0
"Individual products would also need to adhere to criteria for nutrients to limit per RACC for saturated fat, sodium, and added sugars.",0,0
The CFIA may sample raw milk and cream coming from the USA for chemical residues.,0,0
"Moreover, while we recognize that some fruit juices and canned fruits contain added sugars, the Dietary Guidelines, 2020-2025 specifically recommends that juices should be 100 percent juice, without added sugars, and that individuals should choose canned fruits that are canned with 100 percent juice or options lowest in added sugars.",0,0
"and (c) in the case of consumer prepackaged fresh fruits or vegetables, be shown in characters of at least the minimum character height that is set out in column 2 of Schedule 6 for the area of a principal display surface that is set out in column 1.",0,0
"e) if its container bears the word ""liquid"" or ""liquide"", have a colour that may be dull and cloudy or turbid or slightly uneven and show not more than slight signs of crystallization in the form of a light suspension or minor sedimentation of crystals; ",0,0
Vp is a food-borne pathogen that is commonly found in shellfish such as oysters.,0,0
Obtain a guarantee from the supplier(s) that the chocolate blocks and packaging materials provided meet your purchase specifications (for example the supplier provides a Letter of Guarantee).,0,0
"321 Fresh fruits or vegetables that are sent or conveyed from one province to another or imported must be labelled with the applicable size designation that is set out in the Compendium, if any.",0,0
The colour class must be shown on the container in characters of at least the minimum character height that is set out in column 2 of Schedule 6 for the area of a principal display surface that is set out in column 1.,0,0
and (b) in characters that are at least 9.5 mm in height.,0,0
"(c) in the case of a consumer prepackaged poultry carcass graded Canada A or Canada C that has a net weight of more than 1 kg but not more than 5 kg, at least 6 mm in height;",0,0
"(g) when the apples are sold before January 1 following the year in which they were harvested, be free from storage scald;",0,0
"(e) in the case of a livestock carcass or poultry carcass that is dressed or partially dressed, the food has been graded by a grader;",0,0
Inform suppliers of specifications/requirements for incoming honey when the drum history and/or interior coating type are not known to be suitable.,0,0
"No person in a registered and/or licensed establishment shall use, in the preparation of a dairy product for which grades or standards are established by Canadian regulations, any milk or cream that does not meet the quality standards established for milk or cream by the appropriate authority, provincially or federally.",0,0
"59.(1) In the grading of grapes, the requirements set out in sections 57 and 58, as applicable, are considered to be met when up to 10% of the grapes by weight in a lot have defects, including

(a) in the case of a lot of grapes inspected at the time of shipping or repackaging, not more than
(i) 3% that are affected by decay, and
(ii) 5% that have the same defect other than decay;",0,0
"and (e) may contain spices, colouring agents and not more than 2% filler by weight of the finished paste.",0,0
"For purposes of this claim, fruits and vegetables that have been cut and packaged for sale, such as cantaloupe pieces cut and packaged for sale in a supermarket are considered processed.",0,0
"For example, for low-density polyethylene (LDPE) irradiated to 20 kGy with an e-beam source at room temperature, the levels of oxygenated volatile and semi-volatile organic compounds are about one order of magnitude higher in polymer samples irradiated in air than in those irradiated in a vacuum, while the levels of hydrocarbons are the same in the presence or absence of O2 (17).",0,0
"The rule requires that measures designed to prevent Salmonella Enteritidis be adopted by virtually all egg producers with 3,000 or more laying hens whose shell eggs are not processed with a treatment, such as pasteurization, to ensure their safety. ",0,0
"(2) Despite paragraph 7(2)(b), apples of different varieties packaged in approximately equal proportions in packages not exceeding a capacity of 20 kg (44 lb) and labelled with the words ""Gift Pack"", ""Combination Pack"" or ""Variety Pack"", that in all other respects meet the requirements for Canada Extra Fancy grade, may be designated as Canada Extra Fancy.",0,0
Obtain a letter of guarantee from suppliers.,0,0
"If cooked lobster meat is to be sold as unfrozen lobster meat, it must be chilled immediately after being packaged and be maintained at a temperature of 2°C or less and remain unfrozen.",0,0
"A portion of breaded fish flesh that weighs more than 50 g must

(a) if cooked, contain at least 66.67% fish flesh by weight;",0,0
