,sentence,label,paragraph_id
39,"306 (1) Any eggs, fish, fresh fruits or vegetables, processed fruit or vegetable products, honey, maple syrup or beef carcass in respect of which grades are prescribed by these Regulations that are sent or conveyed from one province to another or that are imported or exported must
(a) be graded;",overall,23
40,(b) meet the requirements that are set out in the Compendium or the Grades Document in respect of the applicable grade of that food;,"overall, data, non-label data",23
41,"and (c) be labelled, in accordance with the Compendium or the Grades Document, with the applicable grade name that is set out in the Compendium or the Grades Document.","overall, data, label data",23
42,"(2) Subsection (1) does not apply in respect of
(a) frozen gutted Pacific salmon;",overall,24
43,(b) fresh fruits or vegetables that are exported;,overall,24
44,"(c) fresh blueberries, fresh cantaloupes, fresh crabapples, fresh cranberries, fresh field rhubarb and fresh strawberries;",overall,24
45,"(d) if they are in a hermetically sealed package, mixed vegetables (macédoine), stewed tomatoes, tomato puree, tomato pulp, tomato paste, tomato ketchup and tomato chili sauce;",overall,24
46,"(e) a beef carcass, or a carcass side, hind quarter, front quarter, primal cut or sub-primal cut of a beef carcass that has been imported, in the following cases:
(i) if it is prepackaged, its container is labelled with the expression “Ungraded Beef” or “boeuf non classifié”, and","overall, data, label data",24
47,"(ii) if it is not prepackaged, it is accompanied by documents for presentation to an inspector or grader that show that it has not been graded;","overall, data, non-label data",24
48,"and (f) a beef carcass, or a carcass side, hind quarter, front quarter, primal cut or sub-primal cut of a beef carcass, that is sent or conveyed from one province to another or exported, in the following cases:
(i) if it is prepackaged, its container is labelled with the expression “Ungraded Beef” or “boeuf non classifié”, and","overall, data, label data",24
49,"(ii) if it is not prepackaged, it is accompanied by documents for presentation to an inspector or grader that show that it has not been graded.","overall, data, non-label data",24
50,"(3) Paragraphs (1)(b) and (c) do not apply in respect of
(a) any processed fruit or vegetable product that does not meet the requirements of the Regulations with respect to grade and that is sent or conveyed from one province to another, if it is labelled with the words “Substandard” or “sous-régulier”;","overall, data, label data",25
51,"(b) honey that does not meet the requirements of the Regulations with respect to grade and that is sent or conveyed from one province to another, if it is labelled with the words “Substandard” or “sous-régulier”;","overall, data, label data",25
52,"and (c) honey that does not meet the requirements of the Regulations with respect to grade and that is exported, if the information on the label or the container with respect to the quality of the honey is not misleading or deceptive or is not likely to create an erroneous impression.","overall, data, label data",25
53,"307 The following foods for which grades are prescribed by these Regulations, if they are graded and sent or conveyed from one province to another, or imported or exported, must meet the requirements that are set out in the Compendium or the Grades Document in respect of the applicable grade of that food and must be labelled, in accordance with the Compendium or Grades Document, with the applicable grade name that is set out in the Compendium or Grades Document:","overall, data, label data
(a) a food referred to in paragraphs 306(2)(a), (c) and (d); ::: overall, data, label data",26
54,"(b) a dairy product, except for a dairy product that is exported;","overall, data, label data",26
55,"(c) a bison carcass, ovine carcass or veal carcass;","overall, data, label data",26
56,and (d) a poultry carcass that is dressed or partially dressed.,"overall, data, label data",26
57,"308 (1) Subject to subsection (2), a licence holder is authorized to apply a grade name to, and use a grade name in connection with, a food that is identified in their licence if
(a) the food meets the requirements of paragraphs 8(1)(a) to (d);",overall,27
58,(b) the food meets the requirements that are set out in the Compendium or the Grades Document in respect of the applicable grade of that food;,"overall, data, non-label data",27
59,(c) the food complies with any standards that are set out in the Standards of Identity Document;,"overall, data, non-label data",27
60,"(d) in the case of a dairy product, an egg, fish, a processed fruit or vegetable product, honey or maple syrup, the food has been graded by a licence holder;",overall,27
61,"(e) in the case of a livestock carcass or poultry carcass that is dressed or partially dressed, the food has been graded by a grader;",overall,27
62,and (f) the food is packaged and labelled in accordance with these Regulations.,"overall, data, label data",27
63,"(2) In the case of a livestock carcass or a poultry carcass that is dressed or partially dressed, only the persons who are referred to in the Compendium or the Grades Document are authorized, under the circumstances set out in the Compendium or the Grades Document, to apply a grade name to, or use a grade name in connection with, a food in accordance with this Part.","overall, data, label data",28
64,"309 A food that is imported and in respect of which no grade name is prescribed by these Regulations may be labelled with the grade designation that is established by the foreign state of origin if
(a) the food meets the requirements for the grade designation that are established by that foreign state;","overall, data, non-label data",29
65,(b) the food is labelled in accordance with these Regulations;,"overall, data, label data",29
66,and (c) the name of that foreign state of origin is clearly indicated on the label.,"overall, data, label data",29
67,"312 In the case of a consumer prepackaged food, the grade name must be shown
(a) on the principal display panel or in the manner set out in the Compendium;","overall, data, label data",30
68,"and (b) in characters of the height that is required by another provision in this Division or, if there is no such provision, in characters of at least the minimum character height that is set out in column 2 of Schedule 6 for the area of a principal display surface that is set out in column 1.","overall, data, label data",30
69,"313 A grade name that is applied to a beef carcass, bison carcass, ovine carcass, veal carcass, poultry carcass that is dressed or partially dressed, dairy product or egg must be shown as illustrated in the Compendium or the Grades Document.","overall, data, label data",31
70,"314 (1) The grade name on prepackaged eggs must be shown
(a) in the case of a tray with an overwrap or an egg carton, on the top of the tray or egg carton;","overall, data, label data",32
71,"and (b) in the case of a container, other than a tray with an overwrap or an egg carton, in a central location on the container, except the top or the bottom.","overall, data, label data",32
72,"(2) The grade name is not required to be shown on trays with an overwrap or on egg cartons that are packaged inside of a second container if the grade name is shown on the second container and the second container is sent or conveyed to an establishment where eggs are graded, packaged and labelled by a licence holder.","overall, data, label data",33
73,"48 (1) If a low-acid food is in a hermetically sealed package, an operator must apply the scheduled process referred to in subparagraph (3)(a)(i) and, if batch thermal treatment is applied, must use a temperature-sensitive indicator that visually indicates that the package has been thermally treated.","overall, data, non-label data, measurement, temperature",34
74,"(2) Subsection (1) does not apply if the low-acid food is kept refrigerated or frozen and the expressions “Keep Refrigerated” and “garder réfrigéré”, or “Keep Frozen” and “garder congelé”, as the case may be, are shown on the principal display panel.","overall, data, label data, temperature",35
75,"(3) The operator must prepare documents that set out
(a) in respect of each low-acid food,
(i) a description of the scheduled process that will be applied to it, together with the name of the person who is responsible for developing the process, and","overall, data, non-label data",36
76,(ii) the formulation of the food;,"overall, data, non-label data",36
77,"(3) The operator must prepare documents that set out
(b) in respect of each application of the scheduled process to a low-acid food,
(i) the name of the food and its production volume,","overall, data, non-label data, measurement, mass",36
78,"(ii) the equipment that is used for the treatment,","overall, data, non-label data",36
79,"(iii) any parameters of the treatment, such as start and end times, temperatures of the treatment and the pressure used in the treatment,","overall, data, non-label data, measurement, temperature, time constraint",36
80,"(iv) a description of any maintenance of, and of any modifications to, the equipment that is used for the treatment,","overall, data, non-label data",36
81,"(v) any deviations from the scheduled process and any corrective action taken,","overall, data, non-label data",36
82,"(vi) the incubation results,","overall, data, non-label data",36
83,and (vii) a description of any treatment of the cooling water.,"overall, data, non-label data, measurement, water content",36
84,"(4) The documents that set out the information referred to in paragraph (3)(a) must be kept for three years after the day of the most recent application of the scheduled process to the low-acid food, and the documents that set out the information referred to in paragraph (3)(b) must be kept for three years after the day of the application of the scheduled process.","overall, data, non-label data, time constraint",37
85,49 An operator must maintain and operate an establishment so that the requirements of sections 50 to 81 are met.,overall,38
86,"50 (1) An establishment, and any conveyance or equipment in it that is used in connection with an activity that is regulated under the Act, must be clean and in a sanitary condition.",overall,39
87,(2) The cleaning and sanitation of the establishment and of any conveyance or equipment in it that is used in connection with an activity that is regulated under the Act must be conducted in a manner that does not present a risk of contamination of a food.,overall,40
88,"51 (1) An establishment must be protected against the entry of any animal that presents a risk of contamination of a food, except if, in the case of any land that forms part of an establishment, there are no reasonably practicable measures that may be taken to prevent the entry of such animals onto the land.","overall, pathogen",41
89,82 (1) An operator who suspects on reasonable grounds that a food presents a risk of injury to human health or does not meet the requirements of the Act or these Regulations must immediately investigate the matter.,"overall, data, non-label data",42
90,"(2) If the investigation establishes that the food presents a risk of injury to human health, the operator must immediately notify the Minister and immediately take action to mitigate the risk.","overall, data, non-label data, time constraint",43
91,"83 (1) An operator must prepare, keep and maintain a document that sets out a procedure for receiving, investigating and responding to complaints that are received in relation to a food.","overall, data, non-label data",44
92,"For example, the existing “healthy” regulation requires that a product provide a specified percentage of the RDI or Daily Reference Value (DRV) for nutrients that were of “sufficient public health significance to warrant their inclusion on the nutrition label” (59 FR 24232)","overall, data, label data",45
93,"Since that time, FDA has issued final rules updating the Nutrition Facts label and serving size information for packaged foods to reflect new scientific information.","overall, data, label data, size",46
94,These rules included changes to the nutrients that must be declared on the Nutrition Facts label.,"overall, data, label data",47
95,"For example, the Nutrition Facts label must now include a declaration of the amount of added sugars in a serving of a product, based on our conclusion that evidence on dietary patterns and health outcomes supports a mandatory declaration of added sugars (81 FR 33742 at 33799).","overall, data, label data",48
96,"Thus, to determine whether a food that is voluntarily bearing a “healthy” nutrient content claim is misbranded and the manufacturer has committed a prohibited act, we must have access to the manufacturer's records that we are requiring be kept under proposed § 101.65(d)(4) (21 CFR 101.65(d)(4)).","overall, data, non-label data",49
97,"In addition to the food group criteria, we are proposing that foods must continue to adhere to certain criteria regarding nutrients to limit to be labeled “healthy.”","overall, data, label data",50
98,"The recommended amount of vegetables in the Healthy U.S.-Style Dietary Pattern at the 2,000-calorie level is 21/2 c-eq of vegetables per day.","overall, measurement, mass",51
99,"As described in section VI.B.3.b (“Individual foods”), for most food groups and subgroups, we determined the “food group equivalent” by dividing the daily recommended amount by four (for four eating occasions per day).","overall, data, non-label data",52
100,"For vegetables, we revised the amount derived from the baseline calculation slightly (from 3/4 c-eq down to 1/2 c-eq) for two reasons.","overall, measurement, size, mass",53
101,"First, vegetables are significantly underconsumed according to the Dietary Guidelines, 2020-2025.","overall, data, non-label data",54
102,"Second, we found that a 1/2 c-eq aligned better with the RACCs for most vegetable products as set out in FDA's NFL final rule.","overall, data, non-label data, measurement, size",55
103,"Thus, we are proposing that to bear the nutrient content claim “healthy,” a vegetable product must contain at least 1/2 c-eq vegetables per RACC.","overall, data, label data, measurement, size",56
104,We are proposing that the added sugars content for vegetable products must be no greater than 0 percent DV per RACC.,"overall, data, label data, measurement",57
105,We are proposing that vegetable products be subject to the baseline values for sodium and saturated fat;,"overall, data, non-label data",58
106,"i.e., the sodium content must be no greater than 10 percent DV per RACC and the saturated fat content must be no greater than 5 percent DV per RACC, as many vegetable products in the food supply contain some sodium and added fats for taste, processing, and preservation.","overall, data, label data, measurement, mass, water content",59
107,"For the grains category, we find that there are no special circumstances that require deviation from the baseline levels, so we are proposing the baseline value for all of the nutrients to limit: the added sugars content must be no greater than 5 percent DV per RACC, the sodium content must be no greater than 10 percent DV per RACC, and the saturated fat content must be no greater than 5 percent DV per RACC.","overall, data, label data, measurement, mass",60
108,"The recommended amount of fruits in the Healthy U.S.-Style Dietary Pattern at the 2,000-calorie level is 2 c-eq per day.","overall, data, measurement, mass",61
109,"Applying the baseline calculation discussed in section VI.B.3.b (“Individual foods”), we propose that an individual fruit product must contain at least 1/2 c-eq of fruit per RACC to bear the “healthy” claim.","overall, data, label data, measurement, size",62
110,"As with vegetable products, we are proposing to lower the baseline added sugars limit to 0 percent DV per RACC for fruit products.","overall, data, non-label data",63
111,"While small amounts of added sugars can be part of a healthy dietary pattern—the Dietary Guidelines, 2020-2025 recommendations allow for a certain allotment of added sugars per day—we do not want the “healthy” claim to encourage addition of added sugars in otherwise nutrient-dense fruit products, which are generally already naturally sweet.","overall, data, non-label data",64
112,"Moreover, while we recognize that some fruit juices and canned fruits contain added sugars, the Dietary Guidelines, 2020-2025 specifically recommends that juices should be 100 percent juice, without added sugars, and that individuals should choose canned fruits that are canned with 100 percent juice or options lowest in added sugars.","overall, data, non-label data",65
113,"Thus, to qualify for the “healthy” claim, we propose to allow no added sugars in fruit products (which includes products with 100 percent fruit juice).","overall, data, label data",66
114,"For the fruit category, we find that there are no special circumstances that require deviation from the baseline levels for sodium and saturated fat, so we are proposing the baseline value for sodium of 10 percent DV per RACC and 5 percent DV saturated fat per RACC for fruit products.","overall, data, label data",67
115,"We do not propose to include processed fruits and vegetables, such as canned, frozen, dried, or pureed fruits and vegetables, within this exemption, though many may still meet the criteria to bear “healthy.”","overall, data, label data",68
116,"For purposes of this claim, fruits and vegetables that have been cut and packaged for sale, such as cantaloupe pieces cut and packaged for sale in a supermarket are considered processed.","overall, data, non-label data",69
117,Many processed fruits and vegetables are packaged and sold in a form that makes it appropriate to apply the food group equivalent requirement to these kinds of food to ensure the product contains a meaningful amount of the fruit and/or vegetable.,"overall, data, label data",70
118,"For example, it is appropriate to require that canned fruit products contain a certain amount of fruit per serving in order to bear the “healthy” claim because they contain additional ingredients (e.g., sugar solution) which may impact whether the product has enough fruit per serving to meet the food group equivalent requirement.","overall, data, label data, measurement, mass",71
119,"We are proposing that individual products would need to contain a specified minimum food group equivalent per RACC (e.g.,1/2 cup of fruit, 3/4 cup of dairy) to be labeled “healthy.”","overall, data, label data, measurement, size",72
120,"Individual products would also need to adhere to criteria for nutrients to limit per RACC for saturated fat, sodium, and added sugars.","overall, data, non-label data",73
121,"The recommended amount of dairy in the Healthy U.S.-Style Dietary Pattern at the 2,000-calorie level is 3 c-eq per day.","overall, data, measurement, mass",74
122,"Based on our baseline calculations, we are proposing that a food group equivalent of dairy equal 3/4 c-eq.","overall, data, measurement, size",75
123,This means that an individual dairy food must contain at least 3/4 c-eq of dairy per RACC to bear the “healthy” nutrient content claim.,"overall, data, label data, measurement, mass",76
124,We are proposing to increase the saturated fat limit for dairy products from the baseline level.,"overall, data, label data",77
125,"Under the baseline saturated fat limit of 5 percent DV, low-fat dairy (e.g.,1 percent milk) would not meet the criteria for bearing the “healthy” claim (Ref. 20).","overall, data, label data",78
126,"Forms of dairy that are more nutrient dense (i.e., fat-free and low-fat dairy products) provide important nutrients with less saturated fat than 2 percent or whole-fat dairy.","overall, data, non-label data",79
127,"As stated above, the Dietary Guidelines, 2020-2025 therefore recommends increasing intake of dairy products in fat-free and low-fat forms, to replace intake of 2 percent or whole dairy.","overall, data, non-label data",80
128,We are proposing to revise the saturated fat limit for dairy to ≤10 percent DV of saturated fat per RACC to allow low-fat dairy to bear the “healthy” claim provided the other proposed criteria are met.,"overall, data, label data, measurement",81
129,"Under Section 201(s) of the Food Additives Amendment to the Federal Food, Drug, and Cosmetic Act (the Act) of 1958, the definition of a food additive includes ""...any source of radiation intended for such use"".","overall, data, non-label data",82
130,"In connection with Section 409 of the Act, this means that a food is deemed adulterated and cannot be legally marketed if it has been intentionally irradiated, unless the irradiation is carried out in compliance with an applicable regulation under the prescribed conditions of use specified in the regulation.","overall, data, non-label data",83
131,The use of packaging materials for irradiated food is considered a new use and is subject to premarket safety evaluation.,"overall, data, non-label data",84
132,Components of packaging materials that have been irradiated may migrate to food at different levels in comparison to unirradiated materials.,"overall, data, non-label data",85
133,"Ionizing radiation for the treatment of packaged food can be achieved using gamma rays (with Co-60 or Cesium-137 radioisotope), electron beams, or X-rays, as specified in 21 CFR 179.26(a).","overall, data, non-label data, measurement",86
134,"The effects of radiation on matter generally depend on the type of the radiation and energy level, as well as the composition, physical state, temperature and environment of the absorbing material, whether it is food or the packaging materials in contact with the food.","overall, temperature",87
135,"Chemical changes in matter can occur via primary radiolysis effects, which occur as a result of the adsorption of the energy by the absorbing matter, and can have biological consequences in the case where the target materials include living organisms.","overall, data, non-label data",88
136,"The FDA approved the first materials intended for use as packaging for irradiated foods (polyolefin films, polystyrene, cellophane, vinylidene chloride copolymers, and others) in 1964.","overall, data, non-label data",89
137,Several other materials were approved for this use during the next four years.,"overall, time constraint",90
138,"Since then, only one material, ethylene vinyl acetate copolymer, was added to Title 21 of the Code of Federal Regulations, in 1989.","overall, data, non-label data",91
139,"The recent interest in irradiating meat to eliminate pathogens such as E. coli O157:H7 has resulted in several industry submissions to the Agency regarding new packaging materials, as well as the radiation sources, intended for use during the irradiation of prepackaged food.","overall, data, pathogen",92
140,"Although the vast majority of food contact substances are evaluated via the FCN process, it is still possible that an FCS might require evaluation via the petition process, especially if its dietary concentration is exceptionally high (on the order of 1 ppm or higher; see §170.100(c)(1)) (9).","overall, data, measurement",93
141,The FCN process can take much less time than the petition process because of the additional time needed to prepare and publish a regulation in response to a petition.,"overall, time constraint",94
142,"In the presence of oxygen or air (21% O2), polymer chain scission leads to the formation of oxidative degradation products, which are primarily oxygenated volatile and semi-volatile organic compounds such as aldehydes, ketones, and carboxylic acids (13, 15, 17, 18, 19, 20, 21, 22).","overall, data, measurement, temperature",95
143,Crosslinking dominates under vacuum or an inert atmosphere.,overall,96
144,"In air, increasing dose leads to higher concentrations and a wider variety of measurable RPs (21).","overall, measurement, non-label data",97
145,"For example, for low-density polyethylene (LDPE) irradiated to 20 kGy with an e-beam source at room temperature, the levels of oxygenated volatile and semi-volatile organic compounds are about one order of magnitude higher in polymer samples irradiated in air than in those irradiated in a vacuum, while the levels of hydrocarbons are the same in the presence or absence of O2 (17).","overall, measurement, temperature",98
146,"3. Honey graded Canada No. 1 must
a) be the food derived from the nectar of blossoms or from secretions of or on the living parts of plants by the work of honey bees;",overall,99
147,"b) have a consistency that is fluid, viscous or partly or wholly crystallized;",overall,99
148,c) meet the composition requirements set out in section 10;,"overall, data, non-label data",99
149,"d) have a diastase activity, determined after processing and blending, as represented by a diastase figure on the Gothe scale of:
(i) not less than eight if the hydroxymethylfurfural content is not more than 40 mg/kg; or
(ii) not less than three if the hydroxymethylfurfural content is not more than 15 mg/kg;","overall, measurement",99
150,"e) have no deterioration seriously affecting its edibility, appearance or shipping quality;",overall,99
151,"f) contain not more than 17.8% moisture or, if its container bears the word ""pasteurized"" or ""pasteurisé"", not more than 18.6% moisture;","overall, measurement, water content",99
152,g) be free from any foreign material that would be retained on a screen having a sieve opening of 0.1778 mm and made of wire having a diameter of 0.09 mm;,"overall, measurement, size",99
153,"h) contain not more than 0.1% water insoluble solids or, if its container bears the word ""pressed"" or ""de presse"", not more than 0.5% water insoluble solids;","overall, measurement, water content",99
154,"i) have a flavour characteristic of its colour class and be free from any objectionable flavour, aroma or taint;","overall, measurement, colour",99
155,"j) if its container bears the word ""liquid"" or ""liquide"", be clear, bright, uniform in colour and free from visible crystals;","overall, measurement, colour",99
156,"and k) if its container bears the word ""creamed"", ""en crème"" or another word indicating that the contents are granulated, have a smooth fine texture and complete and uniform granulation.","overall, firmness",99
157,"5. Honey graded Canada No. 2 must
a) meet paragraphs 3(a) to (e) and 3(h);",overall,100
158,"b) contain not more than 18.6% moisture or, if its container bears the word ""pasteurized"" or ""pasteurisé"", not more than 20% moisture;","overall, measurement, water content",100
159,c) be free from any foreign material that would be retained on a screen having a sieve opening of 0.2489 mm and made of wire having a diameter of 0.125 mm;,"overall, measurement, size",100
160,d) have a flavour that may be slightly off but with its honey flavour being not substantially impaired;,overall,100
161,"e) if its container bears the word ""liquid"" or ""liquide"", have a colour that may be dull and cloudy or turbid or slightly uneven and show not more than slight signs of crystallization in the form of a light suspension or minor sedimentation of crystals;","overall, measurement, colour",100
162,"and f) if its container bears the word ""creamed"", ""en crème"" or another word indicating that the contents are granulated, have a texture that may be medium coarse or gritty, but not extremely coarse or gritty, and have a complete and fairly uniform granulation.","overall, measurement, firmness",100
163,"The following are controls for incoming honey, other ingredients, food additives, processing aids and bee treatments to avoid biological, chemical or physical hazards in the honey product.","overall, pathogen",101
164,"Have written specifications for incoming honey and containers in which it is packed, other ingredients, food additives, processing aids and bee treatments, including any requirements in the Food and Drugs Act and Regulations and the Safe Food for Canadians Act and Regulations.","overall, data, non-label data",101
165,Obtain a letter of guarantee from suppliers.,"overall, data, non-label data",102
166,Monitor and test incoming materials to verify adherence to specifications.,"overall, data, non-label data",103
167,Use bee treatments in accordance with Canadian requirements.,overall,104
168,"Keep records of all applications of treatments to the colonies (e.g. medications, colony evacuation for honey removal, mite control).","overall, data, non-label data",105
169,"Have written procedures in place to ensure incoming honey and containers in which it is packed do not pose any biological, chemical or physical hazards and meet compositional standards of honey.","overall, data, non-label data",106
170,Inform suppliers of specifications/requirements for incoming honey when the drum history and/or interior coating type are not known to be suitable.,"overall, data, non-label data",107
171,Follow up with suppliers on non-compliant issues.,overall,108
172,Regularly review the addition of ingredients to ensure that the correct ingredients are added as indicated in the recipe and/or formulation.,"overall, data, non-label data",109
173,Regularly monitor the addition of rework and/or returned product to ensure that like product is added to like product.,"overall, data, non-label data",110
174,"Regularly monitor equipment and utensils to ensure that they are in good operating condition (for example, not showing signs of wear, no cracks).",overall,111
175,Obtain a guarantee from the supplier(s) that the chocolate blocks and packaging materials provided meet your purchase specifications (for example the supplier provides a Letter of Guarantee).,"overall, data, non-label data",112
176,"Obtain a certificate of analysis for each lot of ingredients to confirm that they do not contain microbial hazards (for example, Salmonella spp.)","overall, data, non-label data, measurement, pathogen",113
177,Inspect all incoming ingredients and materials at receiving to confirm that purchase specifications are met.,"overall, data, non-label data",114
178,Regularly monitor the addition of ingredients to ensure that the correct ingredients are added as indicated in the recipe and/or formulation.,"overall, data, non-label data",115
179,"Regularly monitor equipment and utensils (for example, mixers and blenders) to ensure that they are in good operating condition (for example, not showing signs of wear, no cracks) as part of an effective preventive maintenance program.","overall, non-label data",116
180,55. The grades and grade names for grapes are Canada No. 1 and Canada Domestic.,"overall, data, label data",117
181,"56. In addition to the requirements for each grade and subject to the general tolerances set out in section 59, grapes of all grades must
(a) be properly packaged;",overall,118
182,(b) be sound and free from dried grapes;,overall,118
183,(c) be free from hail marks;,overall,118
184,and (d) be free from insects and insect larvae.,overall,118
185,"59.(1) In the grading of grapes, the requirements set out in sections 57 and 58, as applicable, are considered to be met when up to 10% of the grapes by weight in a lot have defects, including","overall, measurement, mass",119
186,"(a) in the case of a lot of grapes inspected at the time of shipping or repackaging, not more than
(i) 3% that are affected by decay, and
(ii) 5% that have the same defect other than decay;","overall, measurement, mass, time constraint",119
187,"and (b) in the case of a lot of grapes inspected at a time other than at the time of shipping or repackaging, not more than 5% that have the same permanent defect.","overall, measurement, mass, time constraint",119
188,(2) Condition defects apply against the grade of a lot of grapes only when the lot is inspected at the time of shipping or repackaging.,"overall, time constraint",120
189,"62. (1) In this section, ""mature"" means the peaches are well developed and have attained sufficient yellow in the ground colour to indicate they will continue to ripen and, in the case of peaches grown in Ontario, also means the pressure test through the skin of the peaches does not exceed 8 kg (18 pounds) as indicated by a pressure tester with an 8 mm (5/16 inch) diameter plunger.","overall, measurement, firmness, size, colour, mass",121
190,"(2) In addition to the requirements for each grade and subject to the general tolerances set out in section 65, peaches of all grades must",overall,122
191,(a) be properly packaged;,,122
192,(b) be hand-picked and of one variety;,,122
193,(c) be uniformly mature and sound;,,122
194,"(d) have a minimum diameter
(i) in the case of peaches sold before August 15 in any year, of 54 mm (2 ⅛ inches), and
(ii) in the case of peaches sold on or after August 15 in any year, of 57 mm (2 ¼ inches);","overall, measurement, size, time constraint",122
195,(e) be free from bruises that individually exceed 13 mm (½ inch) in diameter;,"overall, measurement, size",122
196,and (f) be free from insects and insect larvae.,"overall, pathogen",122
197,Interstate milk shippers reports along with relevant laboratory test results must be made available upon request for assessment by CFIA staff.,"overall, data, non-label data",123
198,All bulk milk/cream haulers/graders must be licensed and in good standing with the licensing authority.,"overall, data, non-label data",124
199,"Furthermore, individual farm samples must be made available for testing upon request of a Canadian regulatory authority.","overall, data, non-label data",124
200,"No person in a registered and/or licensed establishment shall use, in the preparation of a dairy product for which grades or standards are established by Canadian regulations, any milk or cream that does not meet the quality standards established for milk or cream by the appropriate authority, provincially or federally.","overall, data, non-label data",125
201,"315 The grade name on prepackaged eggs must be shown in characters that are at least the following height:
(a) in the case of a tray with an overwrap or an egg carton of eggs graded Canada A or Canada B, 1.5 mm for the word “Canada” and 3 mm for “A” or “B”;","overall, data, label data, measurement, size",126
